Company,Primary Sector,Tags,Short Description,Country,Region,Date,Quarter,Amount ($),Investment Type,TPIC,Corp Investor?,Investor 1,Investor 2,Investor 3,Investor 4,Investor 5,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13
Nutanix,Energy Efficiency,"Cleanweb,Data Center Infrastructure Management,Energy Efficiency,Green IT,Software,Virtualization","Provider of a data center infrastructure virtualization platform that enable smaller data center footprints, lowered power consumption and cooling requirements, and lower operating costs",United States,North America,2014/08/27,3Q14,"$140,000,000",Growth Equity,"$312,200,000",Yes,Fidelity Investments,Wellington Asset Management,,,,,,,,,,,
Renew Power Ventures,Wind,"Large-Scale Wind,Onshore Wind,Project Development,Wind",Developer and operator of renewable energy projects in India,India,Asia Pacific,2014/07/03,3Q14,"$140,000,000",Growth Equity,"$275,000,000",No,Goldman Sachs,Global Environment Fund,Asian Development Bank (ADB),,,,,,,,,,
Advanced Animal Diagnostics,Agriculture & Food,"Agriculture & Food,Animal Health,Cattle,Dairy,Livestock,Livestock Types","Developer of rapid, on-farm diagnostics to improve animal health and productivity",United States,North America,2014/12/09,4Q14,"$15,000,000",Growth Equity,"$32,422,288",Yes,Cultivian Sandbox,Kansas Bioscience Authority,Middleland Capital,Novartis Venture Fund,Intersouth Partners,,,,,,,,
Sunnova,Solar,"Downstream PV,Financing,Photovoltaics (PV),Project Development,Solar,Systems Integration",Provider of solar installation and services,United States,North America,2014/08/07,3Q14,"$110,000,000",Growth Equity,"$505,000,000",No,,,,,,,,,,,,,
Nutanix,Energy Efficiency,"Cleanweb,Data Center Infrastructure Management,Energy Efficiency,Green IT,Software,Virtualization","Provider of a data center infrastructure virtualization platform that enable smaller data center footprints, lowered power consumption and cooling requirements, and lower operating costs",United States,North America,2014/01/14,1Q14,"$101,000,000",Growth Equity,"$312,200,000",Yes,Riverwood Capital,Sapphire Ventures,Greenspring Associates,Lightspeed Venture Partners,Khosla Ventures,Battery Ventures,Morgan Stanley Venture Partners,,,,,,
BlaBlaCar,Transportation,"Cleanweb,Global Cleantech 100 (2013),Global Cleantech 100 (2014),Passenger Car,Ride Sharing,Transportation",Provider of a car-pooling online marketplace,United Kingdom,Europe & Israel,2014/07/01,3Q14,"$100,000,000",Growth Equity,"$111,755,000",No,Index Ventures,Accel Partners,ISAI Investissements,Lead Edge Capital,,,,,,,,,
AgBiome,Agriculture & Food,"Agriculture & Food,Crops,Industrial Biotech,Plant Genomics,Precision Agriculture",Developer of agricultural biotechnology,United States,North America,2014/11/14,4Q14,"$3,000,000",Series A,"$17,500,000",Yes,Syngenta Ventures,Monsanto,Novozymes,,,,,,,,,,
Inflection Energy,Conventional Fuels,"Conventional Fuels,Oil & Gas Production,Services",Natural gas exploration and development company,United States,North America,2014/09/02,3Q14,"$100,000,000",Growth Equity,"$385,440,000",No,,,,,,,,,,,,,
Agrivida,Biofuels & Biochemicals,"Agricultural Residue,Biofuels & Biochemicals,Biotechnology Developer,Cellulosic Biomass,Feedstock Technology,Genetic Engineering,Industrial Biotech,Non-Food Crops,Process Technology,Sorghum","Developer of proprietary crops and processes designed to produce chemicals, fuels, and bioproducts from cellulosic biomass",United States,North America,2014/12/22,4Q14,"$12,300,000",Series B,"$29,900,000",No,,,,,,,,,,,,,
Tujia,Other Cleantech,"Cleanweb,Other Cleantech","Provider of services similar to AirBnb, but for China",China,Asia Pacific,2014/06/18,2Q14,"$100,000,000",Growth Equity,"$100,000,000",No,Lightspeed China Partners,GGV Capital,Qiming Venture Partners,CDH Venture,China Renaissance Capital,,,,,,,,
View,Energy Efficiency,"Building Envelope,Commercial Buildings,Efficient Windows,Energy Efficiency,Hardware,Smart Buildings",Developer of energy-efficient glass technologies for buildings,United States,North America,2014/01/07,1Q14,"$100,000,000",Growth Equity,"$325,000,000",No,Madrone Capital Partners,,,,,,,,,,,,
Yongche.com,Transportation,"Car Sharing,Cleanweb,Marketplace,Passenger Car,Software,Transportation",Developer of an online platform for sharing and distributing commercial vehicles,China,Asia Pacific,2014/09/18,3Q14,"$100,000,000",Growth Equity,"$175,000,000",No,Government of Singapore Investment Corporation (GIC),,,,,,,,,,,,
Atieva,Energy Storage,"Batteries,Electric Vehicles,Electrochemical Storage,Energy Storage,Lithium-Based Batteries,Transportation,Transportation Software,Vehicle Energy Storage",Developer of battery packs for plug-in cars,United States,North America,2014/05/20,2Q14,"$99,996,000",Growth Equity,"$106,996,000",No,,,,,,,,,,,,,
Airware,Other Cleantech,"Agriculture & Food,Crops,Hardware,Other Cleantech,Precision Agriculture,Software,UAV","Developer of hardware, software and cloud solutions for commercial Unmanned Aerial Vehicles",United States,North America,2014/11/19,4Q14,,Series B,"$35,700,000",Yes,GE Ventures,,,,,,,,,,,,
Savant,Energy Efficiency,"Energy Efficiency,Home Automation,Smart Buildings,Smart Home","Developer and manufacturer of  a complete suite of integrated solutions for the purpose of control, automation and entertainment",United States,North America,2014/09/03,3Q14,"$90,000,000",Growth Equity,"$90,000,000",No,Kohlberg Kravis Roberts (KKR),,,,,,,,,,,,
Lattice Power,Energy Efficiency,"Commercial Buildings,Energy Efficiency,Global Cleantech 100 (2010),Global Cleantech 100 (2011),Global Cleantech 100 (2012),Lighting,Lighting Materials,Smart Buildings",Developer of high-output white LEDs based on gallium nitride (GaN) die fabricated on silicon substrates,China,Asia Pacific,2014/07/01,3Q14,"$80,000,000",Growth Equity,"$197,500,000",No,GSR Ventures,Asia Pacific Resources Development,Mayfield Fund,Crescent HydePark,,,,,,,,,
Sungevity,Solar,"Cleanweb,Downstream PV,Financing,Global Cleantech 100 (2013),Global Cleantech 100 (2014),Photovoltaics (PV),Project Development,Solar,Systems Integration",Solar systems integrator targeting the residential rooftop market,United States,North America,2014/04/04,2Q14,"$70,000,000",Growth Equity,"$154,490,958",Yes,E.ON Ventures,GE Ventures,Jetstream Capital,,,,,,,,,,
The Honest Company,Recycling & Waste,"Biodegradable Products,Plastics,Recycling & Waste","Maker of environmentally friendly diapers from natural, organic, sustainably sourced raw materials",United States,North America,2014/08/27,3Q14,"$70,000,000",Growth Equity,"$122,000,000",No,Wellington Asset Management,Dragoneer Investment Group,Lightspeed Venture Partners,General Catalyst Partners,Institutional Venture Partners,Iconiq Capital,,,,,,,
Altaeros Energies,Wind,"High-Altitude Wind,Horizontal Axis Wind Turbine,Wind","Developer of the world's first commercial buoyant airborne wind turbine to harness stronger, more consistent winds found at higher altitudes.",United States,North America,2014/12/04,4Q14,"$7,000,000",Series A,"$7,000,000",No,SoftBank Capital,,,,,,,,,,,,
Intelligent Energy,Fuel Cells & Hydrogen,"Fuel Cells,Fuel Cells & Hydrogen,PEM Fuel Cells","Developer of proprietary hydrogen fuel cells with applications for the global consumer electronics, automotive and stationary power markets",United Kingdom,Europe & Israel,2014/03/24,1Q14,"$63,000,000",Growth Equity,"$222,600,000",No,Government of Singapore Investment Corporation (GIC),,,,,,,,,,,,
Ambiq Micro,Energy Efficiency,"Efficient Electronics,Energy Efficiency,Hardware,Power Management,Semiconductors",Developer of an energy-efficient microcontroller (MCU) that requires less energy than comparable MCUs,United States,North America,2014/11/10,4Q14,"$15,000,000",Growth Equity,"$31,313,287",Yes,Kleiner Perkins Caufield & Byers (KPCB),Austin Ventures,Mercury Fund,ARM Holdings,,,,,,,,,
Anagog,Transportation,"Parking Management,Transportation,Transportation Software",Developer of smart parking solutions,Israel,Europe & Israel,2014/12/03,4Q14,"$1,000,000",Seed,"$1,000,000",No,Dan Vilensky,Avi Shechter,,,,,,,,,,,
LanzaTech,Biofuels & Biochemicals,"Advanced Materials,Agricultural Residue,Air,Biofuel Conversion,Biofuels & Biochemicals,Biological Conversion,Biomass Deconstruction,Carbon Capture and Sequestration (CCS),Cellulosic Biomass,Cellulosic Ethanol,Conventional Fuels,Ethanol,Fermentation,Forest Residue,GTL,Gasification,Global Cleantech 100 (2010),Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Global Cleantech 100 (2014),Industrial Biotech,Industrial Waste,Liquefaction,Municipal Solid Waste,Syngas,Thermal Deconstruction",Developer of a carbon capture and reuse technology that transforms abundant waste and low-cost resources into low carbon fuels and chemicals,United States,North America,2014/03/26,1Q14,"$60,000,000",Growth Equity,"$210,000,000",Yes,Mitsui,Siemens Venture Capital (SVC),CICC Capital,Khosla Ventures,Qiming Venture Partners,K1W1,Malaysian Life Sciences Capital Fund (MLSCF),,,,,,
AnDapt,Energy Efficiency,"Efficient Electronics,Energy Efficiency,Hardware,Internet of Things,Semiconductors",Designer of power efficient semiconductor chips for power electronics and sensor applications,United States,North America,2014/11/09,4Q14,,Series A,,Yes,Intel Capital,,,,,,,,,,,,
INRIX,Transportation,"Cleanweb,Congestion Monitoring,Global Cleantech 100 (2013),Traffic Monitoring,Transportation,Transportation Software",Big Data Analytics & developer of a predictive traffic service system,United States,North America,2014/09/12,3Q14,"$55,000,000",Growth Equity,"$133,100,000",Yes,Porsche,,,,,,,,,,,,
GlassPoint Solar,Solar,"Conventional Fuels,EOR,Global Cleantech 100 (2013),Hardware,Oil & Gas,Oil & Gas Production,Solar,Solar Thermal,Solar Thermal Process Heat / Steam",Manufacturer of solar steam generators for the oil and gas industry,United States,North America,2014/09/08,3Q14,"$53,000,000",Growth Equity,"$86,300,000",Yes,Chrysalix Energy Venture Capital,RockPort Capital Partners,Nth Power,State General Reserve Fund,Royal Dutch Shell,,,,,,,,
Apio Systems,Transportation,"Hardware,Monitoring & Control,Transportation,Transportation Software,Vehicle Components",Developer of safety and sensor systems for vehicles,United States,North America,2014/11/13,4Q14,"$5,000,000",Series A,"$5,000,000",Yes,Verizon Ventures,Lerer Hippeau Ventures,Transdev,East Rock Capital,,,,,,,,,
Cool Planet Energy Systems,Biofuels & Biochemicals,"Agricultural Residue,Agriculture & Food,Biofuels & Biochemicals,Biomass Deconstruction,Cellulosic Biomass,Chemical/Catalytic Conversion,Crops,Drop-in Fuels,Fertilizers,Forest Residue,Gasoline,Industrial Biotech,Jet Fuel,Non-Food Crops,Renewable Diesel,Thermal Deconstruction","Developer of technology to convert non-food, cellulosic biomass into drop-in fuels with a carbon sequestering biochar co-product named CoolTerra(TM) that can be used for soil enhancement",United States,North America,2014/03/31,1Q14,"$50,700,000",Growth Equity,"$129,200,000",Yes,Shea Ventures,BP Ventures,Constellation Technology Ventures,Concord Energy,North Bridge Venture Partners,Google Ventures,Energy Technology Ventures,,,,,,
Avantium,Biofuels & Biochemicals,"Advanced Materials,Biochemicals,Biofuel Conversion,Biofuels & Biochemicals,Biotechnology Developer,Cellulosic Biomass,Chemical/Catalytic Conversion,Global Cleantech 100 (2010),Global Cleantech 100 (2011),Global Cleantech 100 (2012),Global Cleantech 100 (2013),Global Cleantech 100 (2014),Industrial Biotech,Process Technology",Developer of a process to convert biomass into bio-based materials and fuels,Netherlands,Europe & Israel,2014/06/05,2Q14,"$50,000,000",Growth Equity,"$115,500,000",Yes,Swire Pacific,Coca-Cola,Danone,ALPLA,Sofinnova Partners,Capricorn Venture Partners,ING Investment Management,Aescap Venture,Navitas Capital (NL),Aster Capital,De Hoge Dennen Capital,,
Jasper,Other Cleantech,"Cleanweb,Energy Efficiency,Industrial Efficiency,Internet of Things,Monitoring & Control,Other Cleantech,Transportation,Transportation Software",Developer of internet-of-things connectivity solutions for vehicles and other industries,United States,North America,2014/04/16,2Q14,"$50,000,000",Growth Equity,"$205,300,000",No,Temasek Holdings,,,,,,,,,,,,
Applied Cavitation,Advanced Materials,"Advanced Materials,Nanomaterials",Developer of nanotechnologies,United States,North America,2014/12/03,4Q14,"$703,800",Series A,"$1,290,800",No,,,,,,,,,,,,,
Renovate America,Other Cleantech,Other Cleantech,Provider of financing solutions for the adoption of renewable energy sources in commercial and domestic buildings,United States,North America,2014/07/16,3Q14,"$50,000,000",Growth Equity,"$50,000,000",No,Valor Equity Partners,Macquarie Group,RockPort Capital Partners,,,,,,,,,,
Synthetic Genomics,Biofuels & Biochemicals,"Biofuels & Biochemicals,Biotechnology Developer,Conventional Fuels,EOR,Genetic Engineering,Global Cleantech 100 (2010),Global Cleantech 100 (2011),Industrial Biotech,Oil & Gas,Oil & Gas Production,Process Technology","Developer of genomic-based solutions for different industries including energy, food, agriculture, water and medicine",United States,North America,2014/05/06,2Q14,"$50,000,000",Growth Equity,"$165,000,000",Yes,Lung Biotechnology,,,,,,,,,,,,
Verdezyne,Biofuels & Biochemicals,"Biochemicals,Biofuels & Biochemicals,Biotechnology Developer,Genetic Engineering,Global Cleantech 100 (2014),Industrial Biotech,Process Technology",Developer of metabolic pathway engineering tools to develop unique yeast strains for cost-effective production of bio-based chemicals using non-food co-products from low cost plant oil feedstocks,United States,North America,2014/04/28,2Q14,"$48,000,000",Growth Equity,"$66,400,000",Yes,Sime Darby Berhad,BP Ventures,DSM Venturing,OVP Venture Partners,Monitor Ventures,,,,,,,,
GreenTech Automotive,Transportation,"Advanced Materials,Composites,Electric Vehicles,Internal Combustion,Passenger Car,Personal Transport,Transportation",Manufacturer of electric cars,United States,North America,2014/09/30,3Q14,"$47,000,000",Growth Equity,"$47,000,000",No,,,,,,,,,,,,,
Underground Solutions,Water & Wastewater,"Wastewater Treatment,Water & Wastewater",Developer of water & wastewater infrastructure technologies,United States,North America,2014/06/07,2Q14,"$45,000,000",Growth Equity,"$76,500,000",No,Riverwood Capital,,,,,,,,,,,,
Aquion Energy,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Global Cleantech 100 (2012),Global Cleantech 100 (2013),Grid Energy Storage,Hardware,Power Grid,Wholesale Energy Services",Developer of batteries based on ambient-temperature sodium-ion technology; formerly known as 44 Tech,United States,North America,2014/11/06,4Q14,"$11,800,000",Growth Equity,"$123,400,000",No,,,,,,,,,,,,,
SolarBridge Technologies,Solar,"Balance of Systems,Downstream PV,Inverters,Micro Inverters,Photovoltaics (PV),Solar",Developer of module-integrated microinverter solutions for solar photovoltaics (PV),United States,North America,2014/03/06,1Q14,"$42,000,000",Growth Equity,"$105,790,858",Yes,Shea Ventures,Rho Ventures,Prelude Ventures,Constellation Technology Ventures,,,,,,,,,
Dynamic Well Cyclone,Conventional Fuels,"Conventional Fuels,Oil & Gas,Oil & Gas Production",Developer of technology used in optimizing oil and gas production by reducing sediments from the production flow,Norway,Europe & Israel,2014/04/07,2Q14,"$40,600,000",Growth Equity,"$40,600,000",No,Energy Ventures,Epi-V,,,,,,,,,,,
Avogy,Energy Efficiency,"Efficient Electronics,Energy Efficiency,Semiconductors",Developer of silicon carbide (SiC) and gallium nitride (GaN) technology to improve the efficiency of power electronics,United States,North America,2014/09/09,3Q14,"$40,000,000",Series B,"$40,000,000",Yes,Intel Capital,Khosla Ventures,,,,,,,,,,,
Easy Taxi,Transportation,"Cleanweb,Software,Taxi/Private Car Service,Transportation",Developer of a mobile app for ordering and pre-paying for taxis,Brazil,Central/South America,2014/07/28,3Q14,"$40,000,000",Growth Equity,"$69,900,000",Yes,Phenomen Ventures,Tengelmann Ventures,,,,,,,,,,,
FarmLink,Agriculture & Food,"Agriculture & Food,Agriculture Software,Crops",Provider of combine rental programs and proprietary data services,United States,North America,2014/08/20,3Q14,"$40,000,000",Series B,"$40,000,000",No,OpenAir Equity Partners,Thorndale Farm,Early Investments,John Rose,Don Walsworth,,,,,,,,
SilverRail,Transportation,"Cleanweb,Logistics Provider,Software,Transportation",Developer of an online platform enabling easier customer booking of rail travel,United Kingdom,Europe & Israel,2014/04/14,2Q14,"$40,000,000",Growth Equity,"$69,000,000",No,Canaan Partners,Sutter Hill Ventures,Brook Venture Partners,Mithril Capital Management,,,,,,,,,
Smith Electric Vehicles (USA),Transportation,"Electric Vehicles,Hardware,Heavy-Duty Truck,Transportation",Designer and manufacturer of commercial electric delivery vehicles,United States,North America,2014/05/11,2Q14,"$40,000,000",Growth Equity,"$145,225,040",Yes,Sinopoly Battery Limited,,,,,,,,,,,,
Vicarious,Other Cleantech,"Other Cleantech,Software",Developer of machine learning software,United States,North America,2014/03/22,1Q14,"$40,000,000",Series B,"$67,000,000",No,Formation 8,Mark Zuckerberg,Good Ventures,A-Grade Investments,Aaron Levie,Founders Fund,Sam Altman,Bryan Johnson,Khosla Ventures,Open Field Capital,Zarco Investment Group,Initialized Capital,Metaplanet Holdings
Quench,Water & Wastewater,"Disinfection,Mobile / On-Site Units,Residential/Commercial Water,UV Treatment,Water & Wastewater,Water Technology Vendor",Maker and distributor of water purification 'point-of-use' coolers that utilize ultraviolet light technology,United States,North America,2014/01/14,1Q14,"$38,500,000",Growth Equity,"$107,500,000",Yes,Element Partners,Virgin Green Fund,ORIX Capital,Advent-Morro Equity Partners,Potomac Energy Fund,The Pohlad Companies,T. Rowe Price,,,,,,
Kateeva,Energy Efficiency,"Commercial Buildings,Displays,Energy Efficiency,Lighting,Smart Buildings",Producer of hardware and process and materials solutions to streamline production of OLEDs,United States,North America,2014/09/15,3Q14,"$38,000,000",Growth Equity,"$38,000,000",Yes,Samsung Ventures,Sigma Partners,Spark Capital,Madrone Capital Partners,DBL Investors,New Science Ventures,Veeco Instruments,,,,,,
Leeo,Energy Efficiency,"Energy Efficiency,Hardware,Smart Buildings,Smart Home,Software",Developer of connected smart-home devices,United States,North America,2014/09/17,3Q14,"$37,000,000",Series A,"$37,625,000",Yes,E.ON Ventures,Max Levchin,Formation 8,Scott Banister,,,,,,,,,
2-B Energy,Wind,"Bearings,Blades,Gearbox,Horizontal Axis Wind Turbine,Offshore Wind,Rotor Shaft,Tower,Transformers,Turbine / Component Manufacturing,Turbine Housing,Two-Blade,Wind",Developer of a new wind turbine design with lower capital and operating costs than conventional turbines,Netherlands,Europe & Israel,2014/03/18,1Q14,"$36,546,000",Growth Equity,"$40,302,275",Yes,Truffle Capital,PPM Oost,Royal Dutch Shell,Rabobank Group,Department of Energy and Climate Change (DECC),Scottish Enterprise,,,,,,,
Chromatin,Agriculture & Food,"Agriculture & Food,Crops,Industrial Biotech,Plant Genomics,Precision Agriculture","Developer of biotechnology to improve herbicide tolerance, pest and disease resistance in crops while boosting crop yields and reducing the need for fertilizers and pesticides",United States,North America,2014/01/09,1Q14,"$36,000,000",Growth Equity,"$67,600,000",Yes,Wood Creek Capital Management,GE Capital,BP Ventures,Illinois Ventures,State of Wisconsin Investment Board,Adventures IV,,,,,,,
Ambri,Energy Storage,"Batteries,Electrochemical Storage,Energy Storage,Global Cleantech 100 (2013),Grid Energy Storage,Hardware,Power Grid",Developer of an all-liquid metal battery technology for grid-scale energy storage,United States,North America,2014/04/30,2Q14,"$35,000,000",Growth Equity,"$50,452,355",Yes,KLP Enterprises,Pritzker/Vlock Family Office,Building Insurance Bern,Khosla Ventures,Bill Gates,Total Energy Ventures,,,,,,,
Inflection Energy,Conventional Fuels,"Conventional Fuels,Oil & Gas Production,Services",Natural gas exploration and development company,United States,North America,2014/04/15,2Q14,"$35,000,000",Growth Equity,"$385,440,000",No,,,,,,,,,,,,,
Arcadia Biosciences,Agriculture & Food,"Agriculture & Food,Crop Types,Crops,Global Cleantech 100 (2014),Grains,Industrial Biotech,Legumes,Plant Genomics,Precision Agriculture","Developer of agricultural technologies such as low water and nitrogen consuming plants, salt tolerant plants, and extended shelf-life produce",United States,North America,2014/05/08,2Q14,"$33,000,000",Growth Equity,"$48,000,000",Yes,CMEA Capital,Vilmorin,BASF Venture Capital,Exeter Life Sciences,Saints Capital,Mandala Capital,,,,,,,
AMCS Group,Recycling & Waste,"Cleanweb,Recycling & Waste,Waste Management",Provider of services and software to waste/recycling disposal operators,Ireland,Europe & Israel,2014/01/28,1Q14,"$32,080,000",Growth Equity,"$39,167,500",No,Highland Capital Partners,Investec,,,,,,,,,,,
Bao Jia,Transportation,"Car Sharing,Software,Transportation",Provider of an online P2P car sharing platform,China,Asia Pacific,2014/10/05,4Q14,"$5,000,000",Seed,"$5,000,000",No,,,,,,,,,,,,,
BarberWind Turbines,Wind,"Hardware,Horizontal Axis Wind Turbine,Onshore Wind,Small-Scale Wind,Wind",Developer of an 800kw turbine for medium-scale wind applications,United States,North America,2014/11/11,4Q14,"$200,000",Seed,"$200,000",No,SC Launch,,,,,,,,,,,,
Beepi,Transportation,"Marketplace,Software,Transportation",Developer of a used car marketplace app,United States,North America,2014/10/06,4Q14,"$60,000,000",Series B,"$77,700,000",No,Foundation Capital,Sherpa Ventures,Redpoint Ventures,Tina Sharkey,Jose Marin,Fabrice Grinda,Brian Sharples,Rich Boyle,,,,,
Liquid Environmental Solutions,Water & Wastewater,"Services,Water & Wastewater",Provider of non-hazardous liquid waste removal needs.,United States,North America,2014/06/30,2Q14,"$31,600,000",Growth Equity,"$68,155,000",No,ABS Capital Partners,,,,,,,,,,,,
OneRoof Energy,Solar,"Downstream PV,Hardware,Photovoltaics (PV),Project Development,Residential Scale,Rooftop PV,Solar","Developer, owner and operator of solar energy generation systems for the residential market",United States,North America,2014/03/27,1Q14,"$31,549,815",Growth Equity,"$123,049,815",No,,,,,,,,,,,,,
Solexel,Solar,"Midstream PV,PV Cells / Modules,PV Thin Film,Photovoltaics (PV),Solar,Thin Film Silicon (TF-Si)","Developer of high-efficiency, low-cost crystalline silicon solar cell and module products",United States,North America,2014/07/21,3Q14,"$31,000,000",Growth Equity,"$137,283,412",Yes,GAF Materials Corporation,Kleiner Perkins Caufield & Byers (KPCB),Gentry Venture Partners,Northgate Capital,GSV Capital,Spirox,Jasper Ridge Partners,Technology Partners,DAG Ventures,,,,
Proterra,Transportation,"Bus,Charge Stations & Infrastructure,EV Charging & Management,Electric Vehicles,Global Cleantech 100 (2013),Hardware,Transportation,Transportation Infrastructure",Developer of battery-powered buses and other clean commercial transit solutions,United States,North America,2014/06/19,2Q14,"$30,600,000",Growth Equity,"$137,600,000",Yes,88 Green Ventures,Mitsui Global Investment,GM Ventures,Vision Ridge Partners,Edison International,Constellation Technology Ventures,Kleiner Perkins Caufield & Byers (KPCB),Tao Invest,,,,,
Siluria Technologies,Conventional Fuels,"Advanced Materials,Chemicals,Conventional Fuels,Global Cleantech 100 (2012),Global Cleantech 100 (2013),Global Cleantech 100 (2014),Natural Gas,Oil & Gas",Developer of methane conversion technology for creating fuels and chemicals from natural gas,United States,North America,2014/08/06,3Q14,"$30,400,000",Growth Equity,"$99,900,582",Yes,Saudi Aramco Energy Ventures,Bright Capital,Vulcan Capital,ARCH Venture Partners,Wellcome Trust,Alloy Ventures,Kleiner Perkins Caufield & Byers (KPCB),Lux Capital,Altitude Life Sciences Ventures,Presidio Venture Partners,,,
Fulcrum Bioenergy,Biofuels & Biochemicals,"Biofuel Conversion,Biofuels & Biochemicals,Biomass Deconstruction,Chemical/Catalytic Conversion,Drop-in Fuels,Fischer Tropsch Synthesis,Gasification,Industrial Biotech,Jet Fuel,Municipal Solid Waste,Renewable Diesel,Syngas,Thermal Deconstruction",Developer of facilities for the conversion of municipal solid waste and other waste products to ethanol and other renewable transportation fuels,United States,North America,2014/08/14,3Q14,"$30,200,000",Growth Equity,"$225,327,709",No,Undisclosed,,,,,,,,,,,,
Amprius,Energy Storage,"Anodes,Batteries,Consumer Electronics Energy Storage,Electrochemical Storage,Energy Storage,Global Cleantech 100 (2011),Global Cleantech 100 (2012),Hardware,Lithium-Based Batteries,Vehicle Energy Storage",Developer of advanced lithium-ion batteries for consumer electronics and automotive applications,United States,North America,2014/01/06,1Q14,"$30,000,000",Growth Equity,"$60,900,000",No,SAIF Partners,Kleiner Perkins Caufield & Byers (KPCB),Trident Capital,VantagePoint Capital Partners,IPV Capital,Innovation Endeavors,Chinergy Capital,,,,,,
glo,Energy Efficiency,"Commercial Buildings,Energy Efficiency,Global Cleantech 100 (2013),Hardware,Lighting,Lighting Materials,Smart Buildings",Developer of nanowire light-emitting diodes (nLED),Sweden,Europe & Israel,2014/03/18,1Q14,"$30,000,000",Growth Equity,"$71,600,000",No,Wellington Partners Venture Capital,Teknoinvest AS,Nano Future Invest,Energy Future Invest,Foundation Asset Management,,,,,,,,
BeON Home,Energy Efficiency,"Energy Efficiency,Lighting,Smart Buildings,Smart Home",Developer of an LED light which can react to motion and sound for security purposes,United States,North America,2014/12/05,4Q14,"$1,500,000",Seed,"$1,500,000",No,Dangold Investment Corporation,,,,,,,,,,,,
